,AEROBIC_S,DAILY_FV,SPH_GOOD ,DAILY_SMOKE,HEAVY_DRINKING ,AIR_POLL,CULT_ACTIVITIES,FRIENDS_MEET,GR_WORK,CHOOSE_WORK 
Belgium,0.00016882666040289926,1.906663114951461,0.2126961431090671,-0.3242681638869666,-0.23542149385875077,-0.06782520008211873,0.16584197784562577,1.1742840470376126,0.09686258230769976,0.5311228306271982
Bulgaria,-1.7687969210349912,-1.287530819392145,0.8487827263834757,1.6743216414872293,-0.8974823616092014,2.4946956405204523,-2.1872692837067484,-1.2742231148705996,1.068008993028385,-2.2719550201133254
Czechia,-0.5179601941142835,-0.5797793937066811,-0.22170445034662709,0.4672525511127148,0.734574661217491,0.9615635136642134,0.2909440955484107,-0.7120658583100408,-0.8742838284129855,-0.08450641696534539
Denmark,1.5283877566221042,-1.3340934131872413,0.36783921220038623,-1.293881039761576,2.2126640403812883,-0.5058629506124728,1.1904878942684323,-0.37477150437370504,1.001033378495923,1.7623813258122891
Germany ,1.1044640123519065,-0.5518418374296236,0.7401825780195519,-0.7596045571367912,0.9809228910781241,0.08548801260350503,0.4756186502525208,-0.16240098522860555,-0.9747472502116761,0.22985745414574035
Estonia,-0.49179206175192564,-0.2817787934180651,-0.29927598489228663,0.7640728192375954,1.3350484715027833,-1.3381346766201456,0.26711512074788,-0.4497258052484464,0.13035038957392994,1.3825249815530585
Ireland,0.06297234433006164,-1.2130306693199913,-0.5630192023475284,-1.2147289682616083,0.3804490807928313,-1.1410176888814862,0.2254144148469517,0.41224865481107703,1.3917244632686123,-0.1761958793727461
Greece,-1.1407617443384017,1.0499113891216896,-2.238564348533775,1.614957587862253,-1.3285917638653089,-0.0021195375025658577,-1.097093686582484,0.2373552861033478,0.8001065348985402,-1.197878460483778
Spain,0.08914047669241955,1.0964739829167858,1.9192699031135774,0.6651327298626352,-1.1746241202024135,-0.7467837134041674,-0.406053417367103,0.649603940914424,0.8335943421647705,-0.5298552343727192
France,0.23044839144915238,-0.039653305683564226,0.22821045001819923,0.3287364259877707,-0.004470028364407502,-0.4620591755594375,0.7377373730583553,-0.0999390678329879,-0.6398691775493709,0.20366046488648273
Croatia,-1.2035652620080606,1.3665370269283443,-1.5404205376228397,1.1202571409874522,-0.8512920685103328,1.1586805014028725,-1.710689787696141,-0.6371115574352993,-0.15987727340006722,-1.4336513638170947
Italy,-0.9994538295816691,1.3292869518922668,1.608983764930939,-0.2846921281369827,-1.667320579923679,0.6330352007664479,-1.097093686582484,0.6121267904770538,-3.307731156425736,0.3739408950716563
